ean;konkurent;cena;doprava;skladem;url
8594534446264;CykloDům.cz;809;129;ne;https://cyklodum.cz/p/8594534446264
8594534446264;BikeRanger.cz;679;99;ano;https://bikeranger.cz/p/8594534446264
8594534446264;SpeedKola.cz;799;0;ano;https://speedkola.cz/p/8594534446264
8592011993386;VeloMarket.cz;529;129;ano;https://velomarket.cz/p/8592011993386
8592011993386;BikeRanger.cz;499;129;ano;https://bikeranger.cz/p/8592011993386
8596316820019;VeloMarket.cz;1790;0;ano;https://velomarket.cz/p/8596316820019
8596316820019;CykloDům.cz;1890;0;ano;https://cyklodum.cz/p/8596316820019
8596316820019;HoryNaKole.cz;1690;79;ano;https://horynakole.cz/p/8596316820019
8596316820019;MegaSportík.cz;1690;99;ano;https://megasportik.cz/p/8596316820019
8592916856366;VeloMarket.cz;17990;0;ano;https://velomarket.cz/p/8592916856366
8592916856366;KoloPointer.cz;18990;0;ano;https://kolopointer.cz/p/8592916856366
8592916856366;BikeRanger.cz;17990;0;ano;https://bikeranger.cz/p/8592916856366
8592916856366;SpeedKola.cz;20990;0;ano;https://speedkola.cz/p/8592916856366
8592916856366;HoryNaKole.cz;18990;0;ano;https://horynakole.cz/p/8592916856366
8599786111977;VeloMarket.cz;18990;0;ne;https://velomarket.cz/p/8599786111977
8599786111977;BikeRanger.cz;17990;0;ano;https://bikeranger.cz/p/8599786111977
8599786111977;SpeedKola.cz;19990;0;ano;https://speedkola.cz/p/8599786111977
8599786111977;MegaSportík.cz;18990;0;ano;https://megasportik.cz/p/8599786111977
8591427569673;VeloMarket.cz;18990;0;ano;https://velomarket.cz/p/8591427569673
8591427569673;KoloPointer.cz;18990;0;ano;https://kolopointer.cz/p/8591427569673
8591427569673;HoryNaKole.cz;17990;0;ano;https://horynakole.cz/p/8591427569673
8591427569673;MegaSportík.cz;16990;0;ano;https://megasportik.cz/p/8591427569673
8599594441761;VeloMarket.cz;1590;0;ano;https://velomarket.cz/p/8599594441761
8599594441761;BikeRanger.cz;1690;79;ano;https://bikeranger.cz/p/8599594441761
8599594441761;HoryNaKole.cz;1690;79;ano;https://horynakole.cz/p/8599594441761
8599594441761;MegaSportík.cz;1490;0;ne;https://megasportik.cz/p/8599594441761
8595141895926;VeloMarket.cz;1490;129;ne;https://velomarket.cz/p/8595141895926
8595141895926;KoloPointer.cz;1590;79;ano;https://kolopointer.cz/p/8595141895926
8595141895926;CykloDům.cz;1590;79;ano;https://cyklodum.cz/p/8595141895926
8595141895926;BikeRanger.cz;1590;99;ne;https://bikeranger.cz/p/8595141895926
8599903852080;VeloMarket.cz;175990;0;ne;https://velomarket.cz/p/8599903852080
8599903852080;KoloPointer.cz;184990;0;ano;https://kolopointer.cz/p/8599903852080
8599903852080;CykloDům.cz;203990;0;ano;https://cyklodum.cz/p/8599903852080
8599903852080;BikeRanger.cz;183990;0;ano;https://bikeranger.cz/p/8599903852080
8599903852080;MegaSportík.cz;177990;0;ano;https://megasportik.cz/p/8599903852080
8593183364318;VeloMarket.cz;168990;0;ano;https://velomarket.cz/p/8593183364318
8593183364318;KoloPointer.cz;195990;0;ano;https://kolopointer.cz/p/8593183364318
8593183364318;SpeedKola.cz;187990;0;ne;https://speedkola.cz/p/8593183364318
8594163319809;SpeedKola.cz;207990;0;ano;https://speedkola.cz/p/8594163319809
8599076561635;VeloMarket.cz;178990;0;ano;https://velomarket.cz/p/8599076561635
8599076561635;KoloPointer.cz;190990;0;ne;https://kolopointer.cz/p/8599076561635
8599076561635;CykloDům.cz;199990;0;ano;https://cyklodum.cz/p/8599076561635
8599109820562;KoloPointer.cz;178990;0;ano;https://kolopointer.cz/p/8599109820562
8599109820562;HoryNaKole.cz;178990;0;ano;https://horynakole.cz/p/8599109820562
8596825360259;KoloPointer.cz;1790;79;ano;https://kolopointer.cz/p/8596825360259
8596825360259;HoryNaKole.cz;1890;129;ano;https://horynakole.cz/p/8596825360259
